validation_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
727.7067260742188,332.80573534965515,False,1,d2740fbf,2023-08-17_10-30-15,1692268215,332.80573534965515,19767,ip-172-31-38-240,172.31.38.240,332.80573534965515,1
725.0489501953125,322.55607748031616,False,2,d2740fbf,2023-08-17_10-35-38,1692268538,655.3618128299713,19767,ip-172-31-38-240,172.31.38.240,655.3618128299713,2
722.92529296875,326.37991070747375,False,3,d2740fbf,2023-08-17_10-41-04,1692268864,981.7417235374451,19767,ip-172-31-38-240,172.31.38.240,981.7417235374451,3
722.6531982421875,332.2524540424347,True,4,d2740fbf,2023-08-17_10-46-36,1692269196,1313.9941775798798,19767,ip-172-31-38-240,172.31.38.240,1313.9941775798798,4
