validation_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
389.50628662109375,282.79949283599854,False,1,5026574e,2023-08-19_23-15-57,1692486957,282.79949283599854,8182,ip-172-31-38-240,172.31.38.240,282.79949283599854,1
388.49859619140625,268.6050465106964,False,2,5026574e,2023-08-19_23-20-26,1692487226,551.404539346695,8182,ip-172-31-38-240,172.31.38.240,551.404539346695,2
388.43975830078125,270.64230155944824,False,3,5026574e,2023-08-19_23-24-56,1692487496,822.0468409061432,8182,ip-172-31-38-240,172.31.38.240,822.0468409061432,3
387.80133056640625,273.4027853012085,False,4,5026574e,2023-08-19_23-29-30,1692487770,1095.4496262073517,8182,ip-172-31-38-240,172.31.38.240,1095.4496262073517,4
394.9877014160156,276.8246283531189,False,5,5026574e,2023-08-19_23-34-06,1692488046,1372.2742545604706,8182,ip-172-31-38-240,172.31.38.240,1372.2742545604706,5
391.9300537109375,278.4551146030426,False,6,5026574e,2023-08-19_23-38-45,1692488325,1650.7293691635132,8182,ip-172-31-38-240,172.31.38.240,1650.7293691635132,6
391.9350891113281,274.8767957687378,False,7,5026574e,2023-08-19_23-43-20,1692488600,1925.606164932251,8182,ip-172-31-38-240,172.31.38.240,1925.606164932251,7
391.27813720703125,275.9704978466034,True,8,5026574e,2023-08-19_23-47-56,1692488876,2201.5766627788544,8182,ip-172-31-38-240,172.31.38.240,2201.5766627788544,8
