validation_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
755.1151733398438,337.10641622543335,False,1,0ec86dc4,2023-09-05_23-53-26,1693958006,337.10641622543335,7643,ip-172-31-38-240,172.31.38.240,337.10641622543335,1
748.9300537109375,318.7705810070038,False,2,0ec86dc4,2023-09-05_23-58-45,1693958325,655.8769972324371,7643,ip-172-31-38-240,172.31.38.240,655.8769972324371,2
747.4857788085938,323.1473789215088,False,3,0ec86dc4,2023-09-06_00-04-08,1693958648,979.0243761539459,7643,ip-172-31-38-240,172.31.38.240,979.0243761539459,3
746.2242431640625,324.9117329120636,True,4,0ec86dc4,2023-09-06_00-09-33,1693958973,1303.9361090660095,7643,ip-172-31-38-240,172.31.38.240,1303.9361090660095,4
